6770401,Oded Goldreich 0001,0000-0002-4329-135X,Studies in Complexity and Cryptography,,,,,books/sp/goldreich11,https://doi.org/10.1007/978-3-642-22670-0_28,,,books/sp/goldreich2011/Goldreich11m,2018-11-02,,,406-421,,,,,,Basing Non-Interactive Zero-Knowledge on (Enhanced) Trapdoor Permutations: The State of the Art.,db/books/collections/Goldreich2011.html#Goldreich11m,2011,,,,,
6770402,Oded Goldreich 0001,0000-0002-4329-135X,Studies in Complexity and Cryptography,,,,,books/sp/goldreich11,https://doi.org/10.1007/978-3-642-22670-0_36,,,books/sp/goldreich2011/Goldreich11u,2018-11-02,,,555-560,,,,,,Another Motivation for Reducing the Randomness Complexity of Algorithms.,db/books/collections/Goldreich2011.html#Goldreich11u,2011,,,,,
6770403,Oded Goldreich 0001,0000-0002-4329-135X,Studies in Complexity and Cryptography,,,,,books/sp/goldreich11,https://doi.org/10.1007/978-3-642-22670-0_25,,,books/sp/goldreich2011/Goldreich11k,2018-11-02,,,333-372,,,,,,Short Locally Testable Codes and Proofs.,db/books/collections/Goldreich2011.html#Goldreich11k,2011,,,,,
6770404,Mihir Bellare|Oded Goldreich 0001,0000-0002-4329-135X,Studies in Complexity and Cryptography,,,,,books/sp/goldreich11,https://doi.org/10.1007/978-3-642-22670-0_2,,,books/sp/goldreich2011/BellareG11,2018-11-02,,,6-12,,,,,,Proving Computational Ability.,db/books/collections/Goldreich2011.html#BellareG11,2011,,,,,
6770405,Avi Wigderson|Noam Nisan|Oded Goldreich 0001,0000-0002-4329-135X,Studies in Complexity and Cryptography,,,,,books/sp/goldreich11,https://doi.org/10.1007/978-3-642-22670-0_23,,,books/sp/goldreich2011/GoldreichNW11,2018-11-02,,,273-301,,,,,,On Yao's XOR-Lemma.,db/books/collections/Goldreich2011.html#GoldreichNW11,2011,,,,,
6770406,Avi Wigderson|Oded Goldreich 0001|Salil P. Vadhan,0000-0002-4329-135X,Studies in Complexity and Cryptography,,,,,books/sp/goldreich11,https://doi.org/10.1007/978-3-642-22670-0_8,,,books/sp/goldreich2011/GoldreichVW11,2018-11-02,,,59-67,,,,,,Simplified Derandomization of BPP Using a Hitting Set Generator.,db/books/collections/Goldreich2011.html#GoldreichVW11,2011,,,,,
6770407,Oded Goldreich 0001,0000-0002-4329-135X,Studies in Complexity and Cryptography,,,,,books/sp/goldreich11,https://doi.org/10.1007/978-3-642-22670-0_12,,,books/sp/goldreich2011/Goldreich11d,2018-11-02,,,98-108,,,,,,The GGM Construction Does NOT Yield Correlation Intractable Function Ensembles.,db/books/collections/Goldreich2011.html#Goldreich11d,2011,,,,,
6770408,Oded Goldreich 0001,0000-0002-4329-135X,Studies in Complexity and Cryptography,,,,,books/sp/goldreich11,https://doi.org/10.1007/978-3-642-22670-0_15,,,books/sp/goldreich2011/Goldreich11e,2018-11-02,,,124-135,,,,,,On the Average-Case Complexity of Property Testing.,db/books/collections/Goldreich2011.html#Goldreich11e,2011,,,,,
6770409,Avi Wigderson|Oded Goldreich 0001,0000-0002-4329-135X,Studies in Complexity and Cryptography,,,,,books/sp/goldreich11,https://doi.org/10.1007/978-3-642-22670-0_4,,,books/sp/goldreich2011/GoldreichW11,2018-11-02,,,26-29,,,,,,On the Circuit Complexity of Perfect Hashing.,db/books/collections/Goldreich2011.html#GoldreichW11,2011,,,,,
6770410,Oded Goldreich 0001,0000-0002-4329-135X,Studies in Complexity and Cryptography,,,,,books/sp/goldreich11,https://doi.org/10.1007/978-3-642-22670-0_7,,,books/sp/goldreich2011/Goldreich11a,2018-11-02,,,54-58,,,,,,Strong Proofs of Knowledge.,db/books/collections/Goldreich2011.html#Goldreich11a,2011,,,,,
6770411,Oded Goldreich 0001,0000-0002-4329-135X,Studies in Complexity and Cryptography,,,,,books/sp/goldreich11,https://doi.org/10.1007/978-3-642-22670-0_10,,,books/sp/goldreich2011/Goldreich11b,2018-11-02,,,76-87,,,,,,Candidate One-Way Functions Based on Expander Graphs.,db/books/collections/Goldreich2011.html#Goldreich11b,2011,,,,,
6770412,Oded Goldreich 0001,0000-0002-4329-135X,Studies in Complexity and Cryptography,,,,,books/sp/goldreich11,https://doi.org/10.1007/978-3-642-22670-0_24,,,books/sp/goldreich2011/Goldreich11j,2018-11-02,,,302-332,,,,,,A Sample of Samplers: A Computational Perspective on Sampling.,db/books/collections/Goldreich2011.html#Goldreich11j,2011,,,,,
6770413,Oded Goldreich 0001,0000-0002-4329-135X,Studies in Complexity and Cryptography,,,,,books/sp/goldreich11,https://doi.org/10.1007/978-3-642-22670-0_26,,,books/sp/goldreich2011/Goldreich11l,2018-11-02,,,373-389,,,,,,Bravely, Moderately: A Common Theme in Four Recent Works.,db/books/collections/Goldreich2011.html#Goldreich11l,,,,,
