72102,Eloy Renedo|Enric Trillas|Sergio Guadarrama,,Accuracy and Fuzziness,,,,,series/sfsc/2015-323,https://doi.org/10.1007/978-3-319-18606-1_32,,,series/sfsc/GuadarramaRT15,2017-05-16,,,331-350,,,,,,A First Inquiry on Semantic-Based Models of And.,db/series/sfsc/sfsc323.html#GuadarramaRT15,2015,,,,
72103,Didier Dubois|Henri Prade|Yassine Djouadi,,35 Years of Fuzzy Set Theory,,,,,series/sfsc/Cornelis11,https://doi.org/10.1007/978-3-642-16629-7_7,,,series/sfsc/DjouadiDP11,2017-05-16,,,127-147,,,,,,Graduality, Uncertainty and Typicality in Formal Concept Analysis.,db/series/sfsc/Cornelis11.html#DjouadiDP11,,,,
72104,Enrique Herrera-Viedma|Francisco Herrera|Francisco Javier Cabrerizo|Ignacio J. Pérez|Manuel J. Cobo|Sergio Alonso,0000-0002-7922-4984|0000-0003-4253-8629,Recent Developments in the Ordered Weighted Averaging Operators,,,,,series/sfsc/Yager11,https://doi.org/10.1007/978-3-642-17910-5_9,,,series/sfsc/Herrera-ViedmaCPCAH11,2018-12-21,,,167-186,,,,,,Applying Linguistic OWA Operators in Consensus Models under Unbalanced Linguistic Information.,db/series/sfsc/Yager11.html#Herrera-ViedmaCPCAH11,2011,,,,
72105,Claudio Moraga,,Accuracy and Fuzziness,,,,,series/sfsc/2015-323,https://doi.org/10.1007/978-3-319-18606-1_7,,,series/sfsc/Moraga15,2017-05-16,,,109-115,,,,,,Leaves from a Tree Called Friendship.,db/series/sfsc/sfsc323.html#Moraga15,2015,,,,
72106,Tamalika Chaira,,Fuzzy Sets and Their Extensions: Representation, Aggregation and Models,,,,,series/sfsc/2008-220,https://doi.org/10.1007/978-3-540-73723-0_30,,,series/sfsc/Chaira08,2017-05-16,,,587-606,,,,,,Fuzzy Measures in Image Processing.,db/series/sfsc/sfsc220.html#Chaira08,,,,
72107,José A. Olivas,,Accuracy and Fuzziness,,,,,series/sfsc/2015-323,https://doi.org/10.1007/978-3-319-18606-1_28,,,series/sfsc/Olivas15,2017-05-16,,,295-306,,,,,,Fuzzy Web Search: Representing and Applying Concepts Instead of Words.,db/series/sfsc/sfsc323.html#Olivas15,2015,,,,
72108,Guy N. Brock|Laura Salter Kubatko|Vasyl Pihur,0000-0001-5317-079X,Fuzzy Systems in Bioinformatics and Computational Biology,,,,,series/sfsc/2009-242,https://doi.org/10.1007/978-3-540-89968-6_8,,,series/sfsc/BrockPK09,2018-11-02,,,141-163,,,,,,Detecting Gene Regulatory Networks from Microarray Data Using Fuzzy Logic.,db/series/sfsc/sfsc242.html#BrockPK09,2009,,,,
72109,Cengiz Kahraman|Esra Bas,,Fuzzy Engineering Economics with Applications,,,,,series/sfsc/2008-233,https://doi.org/10.1007/978-3-540-70810-0_19,,,series/sfsc/BasK08,2017-05-16,,,359-380,,,,,,Fuzzy Capital Rationing Models.,db/series/sfsc/sfsc233.html#BasK08,2008,,,,
72110,Debasish Ghose|K. N. Krishnanand,,Soft Computing Applications in Industry,,,,,series/sfsc/2008-226,https://doi.org/10.1007/978-3-540-77465-5_9,,,series/sfsc/KrishnanandG08,2017-05-16,,,165-187,,,,,,Glowworm Swarm Optimization Algorithm for Hazard Sensing in Ubiquitous Environments Using Heterogeneous Agent Swarms.,db/series/sfsc/sfsc226.html#KrishnanandG08,2008,,,,
72112,Ayca Altay|Seda Yanik Ugurlu,,Supply Chain Management Under Fuzziness,,,,,series/sfsc/2014-313,https://doi.org/10.1007/978-3-642-53939-8_18,,,series/sfsc/UgurluA14,2017-05-16,,,423-447,,,,,,Recent Models and Solution Methodologies for Optimization Problems in Supply Chain Management Under Fuzziness.,db/series/sfsc/sfsc313.html#UgurluA14,2014,,,,
72113,Sivaperumal Sampath|Sundarapandian Vaidyanathan,0000-0002-8096-5405,Advances in Chaos Theory and Intelligent Control,,,,,series/sfsc/2016-337,https://doi.org/10.1007/978-3-319-30340-6_14,,,series/sfsc/VaidyanathanS16,2017-06-09,,,327-347,,,,,,Complete Synchronization of Hyperchaotic Systems via Novel Sliding Mode Control.,db/series/sfsc/sfsc337.html#VaidyanathanS16,2016,,,,
72114,Gabriella Pasi,,Fuzzy Sets and Their Extensions: Representation, Aggregation and Models,,,,,series/sfsc/2008-220,https://doi.org/10.1007/978-3-540-73723-0_26,,,series/sfsc/Pasi08,2017-05-16,,,517-535,,,,,,Fuzzy Sets in Information Retrieval: State of the Art and Research Trends.,db/series/sfsc/sfsc220.html#Pasi08,,,,
72115,Alnaar Jiwani|Anthony Chiu Wa Lo|Jamal Jida|Keivan Kianmehr|Krista Spence|Reda Alhajj|Tansel Özyer|Yasin Alimohamed,,Soft Computing in XML Data Management,,,,,series/sfsc/Ma10,https://doi.org/10.1007/978-3-642-14010-5_3,,,series/sfsc/KianmehrOLJJASA10,2017-05-16,,,55-77,,,,,,Human Centric Data Representation: From Fuzzy Relational Databases into Fuzzy XML.,db/series/sfsc/Ma10.html#KianmehrOLJJASA10,2010,,,,
72116,Cagatay Iris|Emre Cevikcan,0000-0001-5422-354X,Supply Chain Management Under Fuzziness,,,,,series/sfsc/2014-313,https://doi.org/10.1007/978-3-642-53939-8_15,,,series/sfsc/IrisC14,2018-11-02,,,355-374,,,,,,A Fuzzy Linear Programming Approach for Aggregate Production Planning.,db/series/sfsc/sfsc313.html#IrisC14,2014,,,,
72118,Péter Majlender,,Fuzzy Engineering Economics with Applications,,,,,series/sfsc/2008-233,https://doi.org/10.1007/978-3-540-70810-0_17,,,series/sfsc/Majlender08,2017-05-16,,,307-338,,,,,,Soft Decision Support Systems for Evaluating Real and Financial Investments.,db/series/sfsc/sfsc233.html#Majlender08,2008,,,,
72119,Konstantinos N. Plataniotis|Rastislav Lukac,,Fuzzy Systems in Bioinformatics and Computational Biology,,,,,series/sfsc/2009-242,https://doi.org/10.1007/978-3-540-89968-6_4,,,series/sfsc/LukacP09,2017-05-16,,,67-82,,,,,,Fuzzy Vector Filters for cDNA Microarray Image Processing.,db/series/sfsc/sfsc242.html#LukacP09,2009,,,,
